title, date, reviews, discount, original price, discounted price
SimCity™ 4 Deluxe Edition,20 Jul 2010,Mostly Positive,,CDN$ 19.99,
Project Hospital,30 Oct 2018,Very Positive,,CDN$ 28.99,
Command & Conquer: Red Alert 3 - Uprising,6 Oct 2009,Very Positive,,CDN$ 19.99,
SUPERHOT,25 Feb 2016,Very Positive,,CDN$ 34.99,
Monster Energy Supercross - The Official Videogame,13 Feb 2018,Mixed,-70%,CDN$ 56.99,CDN$ 17.09							
Atelier Meruru ~The Apprentice of Arland~ DX - メルルのアトリエ ～アーランドの錬金術士３～ DX,3 Dec 2018,Positive,,CDN$ 45.49,
Atelier Totori ~The Adventurer of Arland~ DX - トトリのアトリエ ～アーランドの錬金術士２～ DX,3 Dec 2018,Positive,,CDN$ 45.49,
STEINS;GATE,9 Sep 2016,Overwhelmingly Positive,,CDN$ 33.99,
The Fishing Club 3D,23 Mar 2017,Mixed,,Free To Play,
Tower Unite,8 Apr 2016,Very Positive,,CDN$ 16.99,
Metro 2033 Redux,28 Aug 2014,Very Positive,,CDN$ 21.99,
Guild Wars Trilogy,22 Apr 2009,Positive,,CDN$ 32.99,
Watch_Dogs™,27 May 2014,Mixed,,CDN$ 39.99,
Wargame: Red Dragon,17 Apr 2014,Very Positive,,CDN$ 32.99,
BioShock Infinite,26 Mar 2013,Overwhelmingly Positive,,CDN$ 32.99,
Fear the Night,11 Dec 2018,Mixed,,CDN$ 17.49,
Hot Dogs, Horseshoes & Hand Grenades,5 Apr 2016,Overwhelmingly Positive,,CDN$ 21.99,
Battlefleet Gothic: Armada,21 Apr 2016,Mixed,,CDN$ 37.49,
Take On Mars,9 Feb 2017,Mixed,,CDN$ 34.99,
Onmyoji,18 Apr 2018,Mixed,,Free To Play,
Clone Drone in the Danger Zone,16 Mar 2017,Very Positive,,CDN$ 16.99,
Call to Arms,27 Apr 2018,Mostly Positive,,Free to Play,
Interstellar Transport Company,16 Aug 2017,Very Positive,,CDN$ 28.99,
Shoppe Keep 2 - Business and Agriculture RPG Simulation,3 May 2018,Mixed,,CDN$ 17.49,
War of Rights,3 Dec 2018,Mostly Positive,,CDN$ 33.99,
Frostpunk,24 Apr 2018,Very Positive,,CDN$ 33.99,
The Darkness II,6 Feb 2012,Very Positive,,CDN$ 32.99,
Mega Man Legacy Collection / ロックマン クラシックス コレクション,24 Aug 2015,Very Positive,,CDN$ 18.99,
State of Decay: YOSE,27 Apr 2015,Mostly Positive,,CDN$ 32.99,
Beholder 2,4 Dec 2018,Very Positive,,CDN$ 16.99,
The Guild 3,26 Sep 2017,Mixed,,CDN$ 32.99,
Thea 2: The Shattering,30 Nov 2018,Very Positive,,CDN$ 29.99,
Killing Floor 2,18 Nov 2016,Very Positive,,CDN$ 32.99,
Paranormal Activity: The Lost Soul,15 Aug 2017,Mostly Positive,,CDN$ 33.99,
Dragon Age: Origins - Ultimate Edition,26 Oct 2010,Very Positive,,CDN$ 29.99,
Shovel Knight: Treasure Trove,26 Jun 2014,Overwhelmingly Positive,,CDN$ 27.99,
Disassembly 3D,30 Nov 2017,Mixed,,CDN$ 33.99,
Onward,29 Aug 2016,Very Positive,,CDN$ 27.99,
Quake III Arena,3 Aug 2007,Overwhelmingly Positive,,CDN$ 19.99,
QUAKE,3 Aug 2007,Overwhelmingly Positive,,CDN$ 6.49,
Hand of Fate,17 Feb 2015,Very Positive,-50%,CDN$ 19.99,CDN$ 9.99							
Software Inc.,1 May 2015,Very Positive,,CDN$ 14.99,
CrossCode,20 Sep 2018,Overwhelmingly Positive,,CDN$ 21.99,
DRAGON QUEST® XI: Echoes of an Elusive Age™ - Digital Edition of Light,4 Sep 2018,Very Positive,,CDN$ 79.99,
Deus Ex: Mankind Divided,23 Aug 2016,Mixed,,CDN$ 34.99,
Total War: EMPIRE – Definitive Edition,4 Mar 2009,Very Positive,,CDN$ 27.99,
The Blackout Club,30 Oct 2018,Very Positive,,CDN$ 22.79,
Getting Over It with Bennett Foddy,6 Dec 2017,Mostly Positive,,CDN$ 8.99,
Absolver,29 Aug 2017,Mixed,,CDN$ 32.99,
RollerCoaster Tycoon® 2: Triple Thrill Pack,21 May 2014,Very Positive,,CDN$ 10.99,
Epic Tavern,13 Sep 2017,Mostly Positive,,CDN$ 27.99,
Stranded Deep,23 Jan 2015,Mostly Positive,,CDN$ 16.99,
Dead Space,9 Jan 2009,Very Positive,,CDN$ 19.99,
MONOPOLY® PLUS,7 Sep 2017,Mixed,,CDN$ 14.99,
Rick and Morty: Virtual Rick-ality,20 Apr 2017,Mostly Positive,,CDN$ 32.99,
ZomDay,17 Aug 2017,Very Positive,,CDN$ 10.99,
Knight Online,25 Jan 2016,Mixed,,Free to Play,
Pirates of the Polygon Sea,30 Nov 2018,Mostly Positive,-20%,CDN$ 9.99,CDN$ 7.99							
Ashes Cricket,15 Dec 2017,Mostly Positive,,CDN$ 28.99,
Sniper: Ghost Warrior,24 Jun 2010,Mixed,-85%,CDN$ 21.99,CDN$ 3.29							
Sniper: Ghost Warrior 2,11 Mar 2013,Mixed,-85%,CDN$ 21.99,CDN$ 3.29							
QUAKE II,3 Aug 2007,Very Positive,,CDN$ 6.49,
QUAKE Mission Pack 2: Dissolution of Eternity,3 Aug 2007,Very Positive,,CDN$ 3.99,
QUAKE Mission Pack 1: Scourge of Armagon,3 Aug 2007,Very Positive,,CDN$ 3.99,
Rocksmith™,16 Oct 2012,Very Positive,,CDN$ 29.99,
LEGO® MARVEL's Avengers,26 Jan 2016,Very Positive,,CDN$ 29.99,
VR Toolbox: 360 Desktop,26 Dec 2016,Very Positive,,CDN$ 14.99,
Assassin's Creed® Odyssey - Season Pass,5 Oct 2018,Very Positive,,CDN$ 49.99,
GLBasic SDK,8 Jan 2019,,-50%,CDN$ 56.99,CDN$ 28.49							
The Long Dark,1 Aug 2017,Very Positive,,CDN$ 33.99,
QUAKE II Mission Pack: Ground Zero,3 Aug 2007,Mixed,,CDN$ 3.99,
Mega Man X Legacy Collection / ロックマンX アニバーサリー コレクション,24 Jul 2018,Mixed,,CDN$ 29.99,
Executive Assault 2,18 Oct 2018,Very Positive,,CDN$ 28.99,
Equilinox,23 Nov 2018,Overwhelmingly Positive,,CDN$ 11.49,
Parkasaurus,25 Sep 2018,Very Positive,,CDN$ 24.99,
Green Hell,29 Aug 2018,Very Positive,,CDN$ 22.79,
Sins of a Solar Empire: Rebellion®,12 Jun 2012,Very Positive,-75%,CDN$ 51.49,CDN$ 12.87							
Far Cry 3,4 Dec 2012,Very Positive,,CDN$ 25.99,
Karnage Chronicles,24 Apr 2017,Very Positive,,CDN$ 27.99,
Stationeers,12 Dec 2017,Very Positive,,CDN$ 27.99,
Visage,2 Oct 2018,Very Positive,,CDN$ 24.99,
Danganronpa: Trigger Happy Havoc,18 Feb 2016,Overwhelmingly Positive,,CDN$ 21.99,
Medieval Engineers,19 Feb 2015,Mixed,,CDN$ 26.99,
Combat Air Patrol 2: Military Flight Simulator,6 Jun 2016,Mixed,,CDN$ 32.99,
Command & Conquer 3: Kane's Wrath,13 Nov 2009,Very Positive,,CDN$ 14.99,
FINAL FANTASY TYPE-0™ HD,18 Aug 2015,Mixed,,CDN$ 32.99,
Frozen Synapse,26 May 2011,Very Positive,,CDN$ 27.99,
God's Basement,16 Oct 2018,Very Positive,-34%,CDN$ 17.49,CDN$ 11.54							
Puyo Puyo™Tetris®,27 Feb 2018,Very Positive,,CDN$ 24.99,
Besiege,28 Jan 2015,Overwhelmingly Positive,,CDN$ 11.49,
The Jackbox Party Pack 4,18 Oct 2017,Very Positive,,CDN$ 27.99,
Stronghold Crusader HD,21 Oct 2013,Overwhelmingly Positive,,CDN$ 10.99,
Do Not Feed the Monkeys,23 Oct 2018,Very Positive,,CDN$ 12.99,
Wolfenstein: The New Order,19 May 2014,Very Positive,,CDN$ 24.99,
PlanetSide 2,20 Nov 2012,Very Positive,,Free to Play,
Sonic Mania,29 Aug 2017,Very Positive,,CDN$ 24.99,
