title, date, reviews, discount, original price, discounted price
Battlefleet Gothic: Armada 2,24 Jan 2019,,-10%,CDN$ 49.99,CDN$ 44.99							
House Flipper,17 May 2018,Mostly Positive,,CDN$ 22.79,
The Elder Scrolls® Online,22 May 2017,Mostly Positive,,CDN$ 24.99,
Undertale,15 Sep 2015,Overwhelmingly Positive,,CDN$ 10.99,
Age of Empires II HD,9 Apr 2013,Very Positive,,CDN$ 21.99,
Mutant Year Zero: Road to Eden,4 Dec 2018,Very Positive,,CDN$ 43.99,
Shadow of the Tomb Raider,14 Sep 2018,Mostly Positive,,CDN$ 79.99,
Green Hell,29 Aug 2018,Very Positive,,CDN$ 22.79,
Celeste,25 Jan 2018,Overwhelmingly Positive,,CDN$ 21.99,
ASTRONEER,15 Dec 2016,Very Positive,,CDN$ 34.99,
GRIS,13 Dec 2018,Overwhelmingly Positive,,CDN$ 19.49,
PAYDAY 2,13 Aug 2013,Very Positive,,CDN$ 11.49,
Realm of the Mad God,20 Feb 2012,Very Positive,,Free to Play,
Tabletop Simulator,5 Jun 2015,Very Positive,,CDN$ 21.99,
Brick Rigs,7 Nov 2016,Very Positive,,CDN$ 16.99,
Slime Rancher,1 Aug 2017,Overwhelmingly Positive,,CDN$ 21.99,
Lethal League Blaze,24 Oct 2018,Overwhelmingly Positive,,CDN$ 22.79,
Jurassic World Evolution,11 Jun 2018,Mostly Positive,,CDN$ 62.99,
VEGAS Pro 14 Edit Steam Edition,30 Sep 2016,Very Positive,-70%,CDN$ 199.00,CDN$ 59.70							
The Isle,1 Dec 2015,Mixed,,CDN$ 21.99,
Frostpunk,24 Apr 2018,Very Positive,,CDN$ 33.99,
Overcooked! 2,7 Aug 2018,Very Positive,,CDN$ 28.99,
Oxygen Not Included,18 May 2017,Very Positive,,CDN$ 27.99,
Stellaris,9 May 2016,Mostly Positive,,CDN$ 43.99,
Book of Demons,14 Dec 2018,Very Positive,,CDN$ 28.99,
DiRT Rally 2.0,25 Feb 2019,,,CDN$ 68.99,
FOR HONOR™,13 Feb 2017,Mixed,,CDN$ 19.99,
Hotline Miami 2: Wrong Number,10 Mar 2015,Very Positive,-75%,CDN$ 16.99,CDN$ 4.24							
Bloons TD 6,17 Dec 2018,Mixed,,CDN$ 11.49,
Parkitect,29 Nov 2018,Very Positive,,CDN$ 33.99,
Forts,19 Apr 2017,Very Positive,,CDN$ 16.99,
Niffelheim,26 Sep 2018,Mostly Positive,-50%,CDN$ 19.99,CDN$ 9.99							
Borderlands 2,17 Sep 2012,Overwhelmingly Positive,,CDN$ 21.99,
ACE COMBAT™ 7: SKIES UNKNOWN,31 Jan 2019,,,CDN$ 79.99,
DayZ,13 Dec 2018,Mixed,,CDN$ 59.99,
Viscera Cleanup Detail,23 Oct 2015,Very Positive,,CDN$ 13.99,
Grim Dawn,25 Feb 2016,Very Positive,,CDN$ 27.99,
Left 4 Dead 2,16 Nov 2009,Overwhelmingly Positive,,CDN$ 11.49,
Thief Simulator,9 Nov 2018,Mostly Positive,,CDN$ 22.79,
Gang Beasts,12 Dec 2017,Mixed,,CDN$ 21.99,
Trove,9 Jul 2015,Mostly Positive,,Free to Play,
Far Cry® 5,26 Mar 2018,Mixed,,CDN$ 79.99,
American Truck Simulator,2 Feb 2016,Very Positive,,CDN$ 25.99,
Hollow Knight,24 Feb 2017,Overwhelmingly Positive,,CDN$ 16.99,
Monster Prom,27 Apr 2018,Very Positive,,CDN$ 13.49,
Age of Wonders III,31 Mar 2014,Mostly Positive,-75%,CDN$ 32.99,CDN$ 8.24							
World War 3,19 Oct 2018,Mixed,,CDN$ 36.00,
Conan Exiles,8 May 2018,Mixed,,CDN$ 49.99,
Spriter Pro,14 Nov 2014,Mostly Positive,,CDN$ 66.49,
PC Building Simulator,27 Mar 2018,Very Positive,,CDN$ 22.79,
South Park™: The Fractured But Whole™,16 Oct 2017,Mostly Positive,,CDN$ 79.99,
Pathfinder: Kingmaker,25 Sep 2018,Mixed,,CDN$ 45.49,
DARK SOULS™ III,11 Apr 2016,Very Positive,,CDN$ 66.49,
Darksiders III,27 Nov 2018,Mixed,,CDN$ 79.99,
DARK SOULS™ II: Scholar of the First Sin,1 Apr 2015,Very Positive,,CDN$ 49.99,
Hotline Miami,23 Oct 2012,Overwhelmingly Positive,-75%,CDN$ 10.99,CDN$ 2.74							
War of Rights,3 Dec 2018,Mostly Positive,,CDN$ 33.99,
Resident Evil™ 5/ Biohazard 5®,15 Sep 2009,Very Positive,,CDN$ 19.99,
Brawlhalla,17 Oct 2017,Very Positive,,Free to Play,
Dead Cells,6 Aug 2018,Very Positive,,CDN$ 29.99,
Far Cry® Primal,1 Mar 2016,Mostly Positive,,CDN$ 49.99,
Call of Duty®: Black Ops,9 Nov 2010,Very Positive,,CDN$ 43.99,
Freestyle 2: Street Basketball,1 Apr 2015,Mostly Positive,,Free to Play,
Squad,14 Dec 2015,Very Positive,,CDN$ 43.99,
Sid Meier's Civilization® V,21 Sep 2010,Overwhelmingly Positive,,CDN$ 32.99,
SUPERHOT VR,25 May 2017,Very Positive,,CDN$ 27.99,
SPORE™,19 Dec 2008,Very Positive,,CDN$ 19.99,
Runes of Magic,29 Aug 2018,Mixed,,Free To Play,
Darkest Dungeon®,19 Jan 2016,Very Positive,,CDN$ 27.99,
EVE Online,15 Dec 2010,Mostly Positive,,Free,
The Sims™ 3,27 Jan 2011,Very Positive,,CDN$ 19.99,
Thea 2: The Shattering,30 Nov 2018,Very Positive,,CDN$ 29.99,
Resident Evil 6 / Biohazard 6,21 Mar 2013,Mostly Positive,,CDN$ 39.99,
RIDE 3,30 Nov 2018,Mostly Positive,-20%,CDN$ 56.99,CDN$ 45.59							
DiRT Rally,7 Dec 2015,Very Positive,,CDN$ 45.49,
The Binding of Isaac: Rebirth,4 Nov 2014,Overwhelmingly Positive,,CDN$ 16.99,
Yu-Gi-Oh! Duel Links,16 Nov 2017,Mostly Positive,,Free to Play,
Starbound,22 Jul 2016,Very Positive,,CDN$ 16.99,
DRAGON QUEST® XI: Echoes of an Elusive Age™ - Digital Edition of Light,4 Sep 2018,Very Positive,,CDN$ 79.99,
Pavlov VR,27 Feb 2017,Very Positive,,CDN$ 10.99,
My Summer Car,24 Oct 2016,Very Positive,,CDN$ 16.99,
UNO,3 Jan 2017,Mixed,,CDN$ 13.49,
Call of Duty®: Black Ops III,5 Nov 2015,Mixed,,CDN$ 79.99,
X-Plane 11,30 Mar 2017,Very Positive,,CDN$ 72.99,
Ni no Kuni™ II: Revenant Kingdom,23 Mar 2018,Very Positive,,CDN$ 79.99,
Spintires: MudRunner,30 Oct 2017,Very Positive,,CDN$ 37.99,
Fallout 4,10 Nov 2015,Mostly Positive,,CDN$ 39.99,
Youtubers Life,2 Feb 2017,Mostly Positive,,CDN$ 27.99,
DOOM,12 May 2016,Very Positive,,CDN$ 24.99,
DRAGON BALL FighterZ,26 Jan 2018,Very Positive,,CDN$ 79.99,
Neverwinter,5 Dec 2013,Mostly Positive,,Free to Play,
Garden Paws,18 Dec 2018,Very Positive,,CDN$ 22.79,
Metro 2033 Redux,28 Aug 2014,Very Positive,,CDN$ 21.99,
古剑奇谭三(Gujian3),14 Dec 2018,Very Positive,,CDN$ 33.99,
MY HERO ONE'S JUSTICE,25 Oct 2018,Very Positive,,CDN$ 79.99,
Stranded Deep,23 Jan 2015,Mostly Positive,,CDN$ 16.99,
Assassin's Creed® Origins,26 Oct 2017,Very Positive,,CDN$ 79.99,
Dungeon Painter Studio,26 Feb 2017,Very Positive,,CDN$ 16.99,
Star Trek Online,31 Jan 2012,Mostly Positive,,Free to Play,
Lords Of The Fallen™,28 Oct 2014,Mixed,-85%,CDN$ 32.99,CDN$ 4.94							
One Hour One Life,8 Nov 2018,Very Positive,,CDN$ 22.79,
Fallout 4 VR,11 Dec 2017,Mostly Positive,,CDN$ 79.99,
Contractors,14 Dec 2018,Very Positive,,CDN$ 22.79,
Golf With Your Friends,29 Jan 2016,Very Positive,,CDN$ 6.49,
TERA,5 May 2015,Mostly Positive,,Free to Play,
EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,18 Jul 2016,Overwhelmingly Positive,,CDN$ 22.79,
FINAL FANTASY X/X-2 HD Remaster,12 May 2016,Very Positive,,CDN$ 32.99,
Overcooked,3 Aug 2016,Very Positive,,CDN$ 18.99,
Dead Rising 3 Apocalypse Edition,5 Sep 2014,Mixed,,CDN$ 37.99,
Civilization IV: Beyond the Sword,24 Jul 2007,Overwhelmingly Positive,,CDN$ 10.99,
Age of Mythology: Extended Edition,8 May 2014,Very Positive,,CDN$ 32.99,
OVERKILL's The Walking Dead,6 Nov 2018,Mixed,,CDN$ 34.99,
CrossCode,20 Sep 2018,Overwhelmingly Positive,,CDN$ 21.99,
Call of Duty®: Modern Warfare® 2,12 Nov 2009,Very Positive,,CDN$ 21.99,
Car Mechanic Simulator 2018,28 Jul 2017,Mostly Positive,,CDN$ 21.99,
Warface,1 Jul 2014,Mixed,,Free to Play,
Thumper,10 Oct 2016,Very Positive,-70%,CDN$ 19.99,CDN$ 5.99							
The Witcher® 3: Wild Hunt,18 May 2015,Overwhelmingly Positive,,CDN$ 55.99,
Planet Coaster,17 Nov 2016,Very Positive,,CDN$ 60.00,
MapleStory 2,4 Oct 2018,Mostly Positive,,Free To Play,
Dungeon Fighter Online,9 Aug 2016,Mostly Positive,,Free To Play,
Counter-Strike: Source,1 Nov 2004,Overwhelmingly Positive,,CDN$ 11.49,
Scrap Mechanic,19 Jan 2016,Very Positive,,CDN$ 21.99,
Clone Drone in the Danger Zone,16 Mar 2017,Very Positive,,CDN$ 16.99,
Cities: Skylines,10 Mar 2015,Very Positive,,CDN$ 32.99,
Portal 2,18 Apr 2011,Overwhelmingly Positive,,CDN$ 11.49,
Sid Meier's Civilization® IV,25 Oct 2006,Very Positive,,CDN$ 21.99,
Civilization IV®: Warlords,6 Apr 2007,Very Positive,,CDN$ 5.49,
Total War: WARHAMMER,24 May 2016,Mostly Positive,,CDN$ 71.99,
Creed: Rise to Glory™,25 Sep 2018,Very Positive,,CDN$ 33.99,
Tyranny,10 Nov 2016,Very Positive,,CDN$ 33.99,
Out of the Park Baseball 19,22 Mar 2018,Very Positive,,CDN$ 22.79,
Metro: Last Light Redux,27 Aug 2014,Very Positive,,CDN$ 21.99,
WARRIORS OROCHI 4 - 無双OROCHI３,15 Oct 2018,Very Positive,,CDN$ 68.99,
Tavern Tycoon - Dragon's Hangover,31 Jan 2017,Mostly Positive,-40%,CDN$ 11.99,CDN$ 7.19							
Portal Knights,18 May 2017,Very Positive,,CDN$ 21.99,
Tabletop Gods,7 Jan 2019,,-25%,CDN$ 22.79,CDN$ 17.09							
Sid Meier's Civilization IV: Colonization,23 Sep 2008,Mostly Positive,,CDN$ 21.99,
Feed and Grow: Fish,8 Jan 2016,Mostly Positive,,CDN$ 16.99,
Portal,10 Oct 2007,Overwhelmingly Positive,,CDN$ 11.49,
Half-Life 2,16 Nov 2004,Overwhelmingly Positive,,CDN$ 11.49,
Half-Life 2: Episode Two,10 Oct 2007,Overwhelmingly Positive,,CDN$ 8.99,
SENRAN KAGURA Burst Re:Newal,22 Jan 2019,,,CDN$ 49.99,
XCOM® 2,4 Feb 2016,Very Positive,,CDN$ 79.99,
Liftoff: FPV Drone Racing,13 Sep 2018,Very Positive,,CDN$ 21.99,
Hand of Fate,17 Feb 2015,Very Positive,-50%,CDN$ 19.99,CDN$ 9.99							
Football Manager 2019,2 Nov 2018,Mostly Positive,,CDN$ 59.99,
Stick Fight: The Game,28 Sep 2017,Very Positive,,CDN$ 5.49,
Automation - The Car Company Tycoon Game,12 Mar 2015,Very Positive,,CDN$ 32.99,
Mount & Blade: Warband,31 Mar 2010,Overwhelmingly Positive,,CDN$ 21.99,
Half-Life 2: Episode One,1 Jun 2006,Very Positive,,CDN$ 8.99,
Call of Duty®: Black Ops II,13 Nov 2012,Very Positive,,CDN$ 64.99,
